timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1579407632243,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-23,text,false,Test failed: code expected to match /200/,2037,0,11,11,0,0,1
1579407632245,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-23,text,false,Test failed: code expected to match /200/,2037,0,11,11,0,0,1
1579407632246,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-23,text,false,Test failed: code expected to match /200/,2037,0,11,11,0,0,1
1579407632248,0,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-23,text,false,Test failed: code expected to match /200/,2037,0,11,11,0,0,0
1579407632249,0,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-23,text,false,Test failed: code expected to match /200/,2037,0,11,11,0,0,0
1579407632250,0,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-23,text,false,Test failed: code expected to match /200/,2037,0,11,11,0,0,0
1579407631241,1010,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-13,text,false,Test failed: code expected to match /200/,2037,0,11,11,0,0,1010
1579407632251,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-23,text,false,Test failed: code expected to match /200/,2037,0,11,11,0,0,1
1579407632252,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-13,text,false,Test failed: code expected to match /200/,2037,0,10,10,0,0,1
1579407632253,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-13,text,false,Test failed: code expected to match /200/,2037,0,10,10,0,0,1
1579407632254,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-13,text,false,Test failed: code expected to match /200/,2037,0,10,10,0,0,1
1579407632256,0,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-13,text,false,Test failed: code expected to match /200/,2037,0,10,10,0,0,0
